dataset,fname,label
b,set_b/Btraining_extrastole_127_1306764300147_C2.wav,extrastole
b,set_b/Btraining_extrastole_128_1306344005749_A.wav,extrastole
b,set_b/Btraining_extrastole_130_1306347376079_D.wav,extrastole
b,set_b/Btraining_extrastole_134_1306428161797_C1.wav,extrastole
b,set_b/Btraining_extrastole_138_1306762146980_B.wav,extrastole
b,set_b/Btraining_extrastole_140_1306519735121_D.wav,extrastole
b,set_b/Btraining_extrastole_144_1306522408528_B.wav,extrastole
b,set_b/Btraining_extrastole_144_1306522408528_B1.wav,extrastole
b,set_b/Btraining_extrastole_148_1306768801551_B.wav,extrastole
b,set_b/Btraining_extrastole_151_1306779785624_B.wav,extrastole
b,set_b/Btraining_extrastole_153_1306848820671_C.wav,extrastole
b,set_b/Btraining_extrastole_154_1306935608852_D2.wav,extrastole
b,set_b/Btraining_extrastole_163_1307104470471_C.wav,extrastole
b,set_b/Btraining_extrastole_179_1307990076841_C.wav,extrastole
b,set_b/Btraining_extrastole_184_1308073010307_A.wav,extrastole
b,set_b/Btraining_extrastole_190_1308076920011_C.wav,extrastole
b,set_b/Btraining_extrastole_191_1308077299430_A.wav,extrastole
b,set_b/Btraining_extrastole_194_1308139824187_B.wav,extrastole
b,set_b/Btraining_extrastole_198_1308141739338_B.wav,extrastole
b,set_b/Btraining_extrastole_198_1308141739338_B1.wav,extrastole
b,set_b/Btraining_extrastole_202_1308145175747_C1.wav,extrastole
b,set_b/Btraining_extrastole_202_1308145175747_C2.wav,extrastole
b,set_b/Btraining_extrastole_207_1308159792607_B.wav,extrastole
b,set_b/Btraining_extrastole_207_1308159792607_B1.wav,extrastole
b,set_b/Btraining_extrastole_209_1308162216750_D.wav,extrastole
b,set_b/Btraining_extrastole_210_1308162935880_C.wav,extrastole
b,set_b/Btraining_extrastole_213_1308245263936_D.wav,extrastole
b,set_b/Btraining_extrastole_215_1308245664733_B.wav,extrastole
b,set_b/Btraining_extrastole_215_1308245664733_B1.wav,extrastole
b,set_b/Btraining_extrastole_216_1308245839516_A.wav,extrastole
b,set_b/Btraining_extrastole_216_1308245839516_B.wav,extrastole
b,set_b/Btraining_extrastole_220_1308250132896_B.wav,extrastole
b,set_b/Btraining_extrastole_224_1308337157445_B.wav,extrastole
b,set_b/Btraining_extrastole_229_1308594979317_B.wav,extrastole
b,set_b/Btraining_extrastole_235_1308749032454_B.wav,extrastole
b,set_b/Btraining_extrastole_237_1308750231222_A.wav,extrastole
b,set_b/Btraining_extrastole_237_1308750231222_C.wav,extrastole
b,set_b/Btraining_extrastole_249_1309202052376_C.wav,extrastole
b,set_b/Btraining_extrastole_253_1309350256198_B.wav,extrastole
b,set_b/Btraining_extrastole_261_1309353556003_C.wav,extrastole
b,set_b/Btraining_extrastole_265_1309367698923_C.wav,extrastole
b,set_b/Btraining_extrastole_274_1311075637574_A.wav,extrastole
b,set_b/Btraining_extrastole_275_1310990852160_B.wav,extrastole
b,set_b/Btraining_extrastole_286_1311170606028_D.wav,extrastole
b,set_b/Btraining_extrastole_294_1311681084248_C.wav,extrastole
b,set_b/Btraining_extrastole_298_1311685888900_C.wav,extrastole
b,set_b/Btraining_murmur_112_1306243000964_A.wav,murmur
b,set_b/Btraining_murmur_112_1306243000964_B.wav,murmur
b,set_b/Btraining_murmur_112_1306243000964_D.wav,murmur
b,set_b/Btraining_murmur_116_1306258689913_A.wav,murmur
b,set_b/Btraining_murmur_116_1306258689913_C.wav,murmur
b,set_b/Btraining_murmur_116_1306258689913_D.wav,murmur
b,set_b/Btraining_murmur_122_1306325762831_C.wav,murmur
b,set_b/Btraining_murmur_122_1306325762831_D.wav,murmur
b,set_b/Btraining_murmur_156_1306936373241_B.wav,murmur
b,set_b/Btraining_murmur_160_1307100683334_A.wav,murmur
b,set_b/Btraining_murmur_160_1307100683334_B.wav,murmur
b,set_b/Btraining_murmur_161_1307101199321_A.wav,murmur
b,set_b/Btraining_murmur_162_1307101835989_A.wav,murmur
b,set_b/Btraining_murmur_162_1307101835989_B.wav,murmur
b,set_b/Btraining_murmur_164_1307106095995_B.wav,murmur
b,set_b/Btraining_murmur_164_1307106095995_C.wav,murmur
b,set_b/Btraining_murmur_165_1307109069581_C.wav,murmur
b,set_b/Btraining_murmur_165_1307109069581_C2.wav,murmur
b,set_b/Btraining_murmur_171_1307971016233_D.wav,murmur
b,set_b/Btraining_murmur_171_1307971016233_D1.wav,murmur
b,set_b/Btraining_murmur_171_1307971016233_E.wav,murmur
b,set_b/Btraining_murmur_185_1308073325396_B.wav,murmur
b,set_b/Btraining_murmur_185_1308073325396_C.wav,murmur
b,set_b/Btraining_murmur_193_1308078104592_B.wav,murmur
b,set_b/Btraining_murmur_193_1308078104592_C.wav,murmur
b,set_b/Btraining_murmur_193_1308078104592_C1.wav,murmur
b,set_b/Btraining_murmur_195_1308140095331_A.wav,murmur
b,set_b/Btraining_murmur_195_1308140095331_C.wav,murmur
b,set_b/Btraining_murmur_195_1308140095331_C1.wav,murmur
b,set_b/Btraining_murmur_196_1308141034858_B.wav,murmur
b,set_b/Btraining_murmur_196_1308141034858_C.wav,murmur
b,set_b/Btraining_murmur_197_1308141235553_A.wav,murmur
b,set_b/Btraining_murmur_197_1308141235553_C.wav,murmur
b,set_b/Btraining_murmur_197_1308141235553_D.wav,murmur
b,set_b/Btraining_murmur_200_1308144251434_C.wav,murmur
b,set_b/Btraining_murmur_200_1308144251434_D.wav,murmur
b,set_b/Btraining_murmur_203_1308162026258_B.wav,murmur
b,set_b/Btraining_murmur_203_1308162026258_C1.wav,murmur
b,set_b/Btraining_murmur_203_1308162026258_D.wav,murmur
b,set_b/Btraining_murmur_204_1308159229275_B.wav,murmur
b,set_b/Btraining_murmur_211_1308163238707_C.wav,murmur
b,set_b/Btraining_murmur_223_1308337062581_D.wav,murmur
b,set_b/Btraining_murmur_239_1309195730333_B.wav,murmur
b,set_b/Btraining_murmur_239_1309195730333_C.wav,murmur
b,set_b/Btraining_murmur_240_1309196119795_B.wav,murmur
b,set_b/Btraining_murmur_240_1309196119795_C.wav,murmur
b,set_b/Btraining_murmur_240_1309201366049_B.wav,murmur
b,set_b/Btraining_murmur_242_1309197394064_B.wav,murmur
b,set_b/Btraining_murmur_242_1309197394064_D.wav,murmur
b,set_b/Btraining_murmur_244_1309198148498_B.wav,murmur
b,set_b/Btraining_murmur_245_1309200438094_B.wav,murmur
b,set_b/Btraining_murmur_248_1309201683806_A.wav,murmur
b,set_b/Btraining_murmur_248_1309201683806_C.wav,murmur
b,set_b/Btraining_murmur_254_1309350589009_A.wav,murmur
b,set_b/Btraining_murmur_254_1309350589009_A1.wav,murmur
b,set_b/Btraining_murmur_254_1309350589009_C.wav,murmur
b,set_b/Btraining_murmur_254_1309350589009_D.wav,murmur
b,set_b/Btraining_murmur_276_1311162716489_C.wav,murmur
b,set_b/Btraining_murmur_281_1311165683454_A.wav,murmur
b,set_b/Btraining_murmur_281_1311165683454_B.wav,murmur
b,set_b/Btraining_murmur_281_1311165683454_D.wav,murmur
b,set_b/Btraining_murmur_287_1311170903290_C.wav,murmur
b,set_b/Btraining_murmur_288_1311164615284_D.wav,murmur
b,set_b/Btraining_murmur_292_1311185449649_B.wav,murmur
b,set_b/Btraining_murmur_292_1311185449649_C.wav,murmur
b,set_b/Btraining_murmur_293_1311680805936_B1.wav,murmur
b,set_b/Btraining_normal_103_1305031931979_B.wav,normal
b,set_b/Btraining_normal_103_1305031931979_D1.wav,normal
b,set_b/Btraining_normal_103_1305031931979_D2.wav,normal
b,set_b/Btraining_normal_103_1305031931979_D3.wav,normal
b,set_b/Btraining_normal_106_1306776721273_B1.wav,normal
b,set_b/Btraining_normal_106_1306776721273_C1.wav,normal
b,set_b/Btraining_normal_106_1306776721273_C2.wav,normal
b,set_b/Btraining_normal_106_1306776721273_D1.wav,normal
b,set_b/Btraining_normal_106_1306776721273_D2.wav,normal
b,set_b/Btraining_normal_107_1305654946865_C1.wav,normal
b,set_b/Btraining_normal_109_1305653646620_C.wav,normal
b,set_b/Btraining_normal_113_1306244002866_D.wav,normal
b,set_b/Btraining_normal_115_1306259437619_C.wav,normal
b,set_b/Btraining_normal_117_1306262456650_B.wav,normal
b,set_b/Btraining_normal_125_1306332456645_B.wav,normal
b,set_b/Btraining_normal_126_1306777102824_B.wav,normal
b,set_b/Btraining_normal_126_1306777102824_C.wav,normal
b,set_b/Btraining_normal_126_1306777102824_D.wav,normal
b,set_b/Btraining_normal_127_1306764300147_A.wav,normal
b,set_b/Btraining_normal_127_1306764300147_B.wav,normal
b,set_b/Btraining_normal_127_1306764300147_C1.wav,normal
b,set_b/Btraining_normal_128_1306344005749_B.wav,normal
b,set_b/Btraining_normal_128_1306344005749_D.wav,normal
b,set_b/Btraining_normal_128_1306344005749_D1.wav,normal
b,set_b/Btraining_normal_129_1306344506305_B1.wav,normal
b,set_b/Btraining_normal_129_1306344506305_D.wav,normal
b,set_b/Btraining_normal_129_1306344506305_D1.wav,normal
b,set_b/Btraining_normal_133_1306759619127_A.wav,normal
b,set_b/Btraining_normal_133_1306759619127_B.wav,normal
b,set_b/Btraining_normal_133_1306759619127_D.wav,normal
b,set_b/Btraining_normal_134_1306428161797_C.wav,normal
b,set_b/Btraining_normal_134_1306428161797_C2.wav,normal
b,set_b/Btraining_normal_134_1306428161797_D.wav,normal
b,set_b/Btraining_normal_137_1306764999211_C.wav,normal
b,set_b/Btraining_normal_137_1306764999211_D.wav,normal
b,set_b/Btraining_normal_139_1306519274653_A.wav,normal
b,set_b/Btraining_normal_140_1306519735121_A.wav,normal
b,set_b/Btraining_normal_140_1306519735121_B.wav,normal
b,set_b/Btraining_normal_140_1306519735121_D1.wav,normal
b,set_b/Btraining_normal_141_1306520154450_B.wav,normal
b,set_b/Btraining_normal_141_1306520154450_C.wav,normal
b,set_b/Btraining_normal_143_1306763822290_B.wav,normal
b,set_b/Btraining_normal_143_1306763822290_C.wav,normal
b,set_b/Btraining_normal_145_1307987561278_B.wav,normal
b,set_b/Btraining_normal_145_1307987561278_C.wav,normal
b,set_b/Btraining_normal_146_1306778707532_A.wav,normal
b,set_b/Btraining_normal_146_1306778707532_B.wav,normal
b,set_b/Btraining_normal_146_1306778707532_D1.wav,normal
b,set_b/Btraining_normal_146_1306778707532_D2.wav,normal
b,set_b/Btraining_normal_146_1306778707532_D3.wav,normal
b,set_b/Btraining_normal_146_1306778707532_D4.wav,normal
b,set_b/Btraining_normal_147_1306523973811_A.wav,normal
b,set_b/Btraining_normal_147_1306523973811_C.wav,normal
b,set_b/Btraining_normal_148_1306768801551_C1.wav,normal
b,set_b/Btraining_normal_148_1306768801551_D2.wav,normal
b,set_b/Btraining_normal_149_1306776016110_B.wav,normal
b,set_b/Btraining_normal_149_1306776016110_C1.wav,normal
b,set_b/Btraining_normal_150_1306776340746_B.wav,normal
b,set_b/Btraining_normal_150_1306776340746_C.wav,normal
b,set_b/Btraining_normal_151_1306779785624_A.wav,normal
b,set_b/Btraining_normal_151_1306779785624_D.wav,normal
b,set_b/Btraining_normal_152_1306779561195_B1.wav,normal
b,set_b/Btraining_normal_152_1306779561195_C1.wav,normal
b,set_b/Btraining_normal_152_1306779561195_D.wav,normal
b,set_b/Btraining_normal_153_1306848820671_A.wav,normal
b,set_b/Btraining_normal_153_1306848820671_B.wav,normal
b,set_b/Btraining_normal_153_1306848820671_B1.wav,normal
b,set_b/Btraining_normal_153_1306848820671_D1.wav,normal
b,set_b/Btraining_normal_154_1306935608852_A1.wav,normal
b,set_b/Btraining_normal_154_1306935608852_B.wav,normal
b,set_b/Btraining_normal_154_1306935608852_B1.wav,normal
b,set_b/Btraining_normal_154_1306935608852_D.wav,normal
b,set_b/Btraining_normal_155_1306935902813_B1.wav,normal
b,set_b/Btraining_normal_158_1306947254705_B2.wav,normal
b,set_b/Btraining_normal_159_1307018640315_A.wav,normal
b,set_b/Btraining_normal_159_1307018640315_B1.wav,normal
b,set_b/Btraining_normal_159_1307018640315_B2.wav,normal
b,set_b/Btraining_normal_159_1307018640315_C1.wav,normal
b,set_b/Btraining_normal_167_1307111318050_A.wav,normal
b,set_b/Btraining_normal_167_1307111318050_C.wav,normal
b,set_b/Btraining_normal_168_1307970069434_A.wav,normal
b,set_b/Btraining_normal_168_1307970069434_A2.wav,normal
b,set_b/Btraining_normal_169_1307970398039_C.wav,normal
b,set_b/Btraining_normal_170_1307970562729_A.wav,normal
b,set_b/Btraining_normal_170_1307970562729_B.wav,normal
b,set_b/Btraining_normal_170_1307970562729_C.wav,normal
b,set_b/Btraining_normal_172_1307971284351_B.wav,normal
b,set_b/Btraining_normal_172_1307971284351_B1.wav,normal
b,set_b/Btraining_normal_173_1307973611151_B.wav,normal
b,set_b/Btraining_normal_173_1307973611151_C.wav,normal
b,set_b/Btraining_normal_174_1307987737137_B.wav,normal
b,set_b/Btraining_normal_174_1307987737137_B1.wav,normal
b,set_b/Btraining_normal_175_1307987962616_B.wav,normal
b,set_b/Btraining_normal_175_1307987962616_B1.wav,normal
b,set_b/Btraining_normal_175_1307987962616_D.wav,normal
b,set_b/Btraining_normal_176_1307988171173_A.wav,normal
b,set_b/Btraining_normal_176_1307988171173_B.wav,normal
b,set_b/Btraining_normal_176_1307988171173_B1.wav,normal
b,set_b/Btraining_normal_177_1307989650056_A1.wav,normal
b,set_b/Btraining_normal_177_1307989650056_B.wav,normal
b,set_b/Btraining_normal_177_1307989650056_D.wav,normal
b,set_b/Btraining_normal_177_1307989650056_D1.wav,normal
b,set_b/Btraining_normal_178_1307989887769_B.wav,normal
b,set_b/Btraining_normal_178_1307989887769_D.wav,normal
b,set_b/Btraining_normal_179_1307990076841_B.wav,normal
b,set_b/Btraining_normal_179_1307990076841_D.wav,normal
b,set_b/Btraining_normal_180_1307990956284_A.wav,normal
b,set_b/Btraining_normal_180_1307990956284_C.wav,normal
b,set_b/Btraining_normal_181_1308052613891_B.wav,normal
b,set_b/Btraining_normal_181_1308052613891_D.wav,normal
b,set_b/Btraining_normal_183_1308072703477_B.wav,normal
b,set_b/Btraining_normal_183_1308072703477_C.wav,normal
b,set_b/Btraining_normal_184_1308073010307_B.wav,normal
b,set_b/Btraining_normal_184_1308073010307_D.wav,normal
b,set_b/Btraining_normal_186_1308073648738_C1.wav,normal
b,set_b/Btraining_normal_186_1308073648738_D.wav,normal
b,set_b/Btraining_normal_188_1308074301731_C.wav,normal
b,set_b/Btraining_normal_188_1308074301731_D.wav,normal
b,set_b/Btraining_normal_190_1308076920011_C1.wav,normal
b,set_b/Btraining_normal_190_1308076920011_D.wav,normal
b,set_b/Btraining_normal_191_1308077299430_B.wav,normal
b,set_b/Btraining_normal_194_1308139824187_A.wav,normal
b,set_b/Btraining_normal_194_1308139824187_A1.wav,normal
b,set_b/Btraining_normal_198_1308141739338_C.wav,normal
b,set_b/Btraining_normal_201_1308144942432_A.wav,normal
b,set_b/Btraining_normal_201_1308144942432_A1.wav,normal
b,set_b/Btraining_normal_202_1308145175747_C.wav,normal
b,set_b/Btraining_normal_202_1308145175747_D.wav,normal
b,set_b/Btraining_normal_204_1308159229275_C.wav,normal
b,set_b/Btraining_normal_204_1308159229275_D.wav,normal
b,set_b/Btraining_normal_206_1308159601959_C.wav,normal
